시도,시군구,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,01,76,1,18,66,19
서울,종로구,02,90,1,28,76,17
서울,종로구,03,55,0,19,40,10
서울,종로구,04,61,0,17,81,10
서울,종로구,05,83,1,18,76,18
서울,종로구,06,82,0,25,69,13
서울,종로구,07,89,0,25,93,12
서울,종로구,08,69,1,24,58,6
서울,종로구,09,73,0,12,69,10
서울,종로구,10,75,0,21,56,16
서울,종로구,11,82,1,20,74,13
서울,종로구,12,68,0,10,75,10
서울,중구,01,81,0,29,80,5
서울,중구,02,78,0,26,72,12
서울,중구,03,61,2,16,48,11
서울,중구,04,64,0,17,56,4
서울,중구,05,104,2,36,93,8
서울,중구,06,80,1,27,71,16
서울,중구,07,77,0,24,63,10
서울,중구,08,83,0,27,66,9
서울,중구,09,66,0,20,42,18
서울,중구,10,94,0,21,96,13
서울,중구,11,88,0,38,62,14
서울,중구,12,79,1,19,65,14
서울,용산구,01,71,0,19,74,0
서울,용산구,02,85,1,16,87,3
서울,용산구,03,66,3,17,56,1
서울,용산구,04,88,1,17,99,0
서울,용산구,05,82,1,26,79,3
서울,용산구,06,95,0,24,106,1
서울,용산구,07,79,2,29,70,4
서울,용산구,08,71,1,24,76,3
서울,용산구,09,62,1,19,62,4
서울,용산구,10,70,1,24,64,3
서울,용산구,11,64,0,14,71,6
서울,용산구,12,57,1,17,56,4
서울,성동구,01,86,0,22,97,4
서울,성동구,02,76,0,16,81,5
서울,성동구,03,77,2,30,69,4
서울,성동구,04,89,0,33,94,6
서울,성동구,05,96,0,29,96,12
서울,성동구,06,104,0,35,100,5
서울,성동구,07,108,2,31,102,8
서울,성동구,08,99,2,17,99,9
서울,성동구,09,98,1,38,78,12
서울,성동구,10,101,0,31,87,5
서울,성동구,11,102,1,25,95,11
서울,성동구,12,83,1,15,73,7
서울,동대문구,01,98,1,31,72,12
서울,동대문구,02,119,0,37,107,11
서울,동대문구,03,92,2,29,89,10
서울,동대문구,04,119,0,32,109,8
서울,동대문구,05,108,1,33,91,18
서울,동대문구,06,144,1,40,141,12
서울,동대문구,07,134,0,31,134,16
서울,동대문구,08,119,0,43,96,9
서울,동대문구,09,131,0,46,120,6
서울,동대문구,10,137,2,36,118,9
서울,동대문구,11,138,2,40,114,13
서울,동대문구,12,109,1,34,89,9
서울,성북구,01,109,0,24,100,10
서울,성북구,02,124,1,38,117,4
서울,성북구,03,93,1,26,93,8
서울,성북구,04,88,0,28,71,6
서울,성북구,05,122,2,31,109,7
서울,성북구,06,109,0,30,103,7
서울,성북구,07,104,0,13,125,13
서울,성북구,08,78,0,16,67,7
서울,성북구,09,102,1,30,98,4
서울,성북구,10,124,1,33,108,10
서울,성북구,11,108,1,26,107,13
서울,성북구,12,114,0,28,97,15
서울,도봉구,01,58,0,23,56,5
서울,도봉구,02,63,0,27,53,13
서울,도봉구,03,50,1,12,42,5
서울,도봉구,04,58,0,24,45,5
서울,도봉구,05,60,0,14,72,8
서울,도봉구,06,65,0,24,48,11
서울,도봉구,07,75,2,27,86,9
서울,도봉구,08,57,0,14,50,5
서울,도봉구,09,54,0,12,43,8
서울,도봉구,10,78,1,21,67,13
서울,도봉구,11,61,0,17,45,12
서울,도봉구,12,62,3,19,45,10
서울,은평구,01,73,1,30,89,8
서울,은평구,02,83,2,26,79,12
서울,은평구,03,68,0,19,73,8
서울,은평구,04,74,0,23,78,9
서울,은평구,05,74,0,31,82,27
서울,은평구,06,75,3,16,75,8
서울,은평구,07,81,1,18,80,14
서울,은평구,08,85,2,23,94,7
서울,은평구,09,98,3,19,117,18
서울,은평구,10,92,0,33,98,4
서울,은평구,11,79,1,24,74,8
서울,은평구,12,71,1,13,68,10
서울,서대문구,01,84,0,19,101,18
서울,서대문구,02,72,1,19,61,13
서울,서대문구,03,61,0,19,58,21
서울,서대문구,04,58,0,12,52,12
서울,서대문구,05,75,1,10,68,20
서울,서대문구,06,99,0,27,60,25
서울,서대문구,07,98,0,29,90,25
서울,서대문구,08,78,1,18,60,23
서울,서대문구,09,69,3,20,47,21
서울,서대문구,10,85,0,16,77,17
서울,서대문구,11,82,0,17,80,10
서울,서대문구,12,67,0,16,56,19
서울,마포구,01,98,2,24,95,10
서울,마포구,02,117,2,33,120,11
서울,마포구,03,109,0,19,124,12
서울,마포구,04,104,0,32,98,10
서울,마포구,05,131,2,31,138,22
서울,마포구,06,114,0,22,129,22
서울,마포구,07,104,1,28,95,15
서울,마포구,08,114,1,27,115,17
서울,마포구,09,109,2,20,115,16
서울,마포구,10,102,1,22,100,12
서울,마포구,11,89,0,24,86,8
서울,마포구,12,81,2,19,76,7
서울,강서구,01,135,2,48,135,10
서울,강서구,02,128,1,30,124,9
서울,강서구,03,123,2,30,138,4
서울,강서구,04,124,1,51,114,15
서울,강서구,05,158,3,46,147,11
서울,강서구,06,137,2,44,136,8
